milage,transmission,brand_cat,age,fuel_cat,ext_col_cat,int_col_cat,hp,accident,price
13180.0,2,1,3,0,3,3,184.8,0,23998.0
104000.0,2,2,10,0,1,1,306.0,0,21000.0
8500.0,3,2,1,1,3,1,382.0,0,67900.0
19069.0,2,2,5,0,1,3,277.20000000000005,0,69998.0
6090.0,2,2,1,0,1,1,237.0,0,46900.0
4900.0,2,2,2,1,2,1,536.0,0,99000.0
47523.0,3,2,5,0,1,1,248.0,0,31000.0
43000.0,2,1,18,0,2,1,425.0,1,19995.0
14684.0,2,3,7,0,1,1,582.0,0,130000.0
57800.0,3,2,5,0,1,2,425.0,0,55999.0
952.0,1,1,1,0,2,3,300.0,0,49950.0
21240.0,2,2,5,0,1,1,444.0,1,59950.0
59338.0,3,2,5,0,1,1,335.0,0,42499.0
255.0,2,3,1,0,3,3,480.48,0,359991.0
23230.0,2,3,5,0,1,1,424.0,0,44999.0
48000.0,2,2,7,0,2,1,340.0,1,30000.0
41059.0,2,2,19,0,1,1,225.0,0,11100.0
21240.0,2,2,4,0,1,1,184.8,0,37998.0
11500.0,2,2,9,0,2,3,340.0,0,72000.0
9950.0,2,2,3,0,2,2,365.0,0,53950.0
633.0,1,1,1,0,1,1,315.0,0,47999.0
66000.0,2,1,9,1,1,3,199.0,1,15900.0
59715.0,2,2,10,0,3,1,560.0,1,45000.0
85252.0,2,2,12,0,1,1,326.0,0,18500.0
17900.0,2,2,4,1,1,1,362.0,1,80000.0
25500.0,2,2,8,0,1,1,560.0,0,55000.0
210703.0,1,1,20,0,2,1,165.0,0,2300.0
3800.0,1,1,1,0,1,1,276.0,0,34000.0
36602.0,3,1,2,1,2,3,147.84,0,31995.0
2800.0,2,2,1,1,1,2,835.0,0,92000.0
2165.0,2,3,3,0,1,1,480.48,0,279950.0
33000.0,2,2,6,0,2,1,241.0,1,29900.0
76009.0,2,2,8,0,1,1,300.0,0,24950.0
31349.0,2,1,4,0,3,1,526.6800000000001,0,39366.0
48000.0,3,2,9,0,2,2,306.0,0,32900.0
91420.0,2,2,19,0,1,1,215.0,0,8900.0
124756.0,1,1,21,0,1,1,130.0,1,4995.0
2415.0,2,2,1,0,3,3,572.88,0,104900.0
